# Mach45 analytic profile (Lowrie & Edwards 2008)
# Np=2000  xmin=1950.0  xmax=2450.0  shock_x=2300.0
# x(cm), rho(g/cc), T_gas(K), Erad(erg/cc), v_x(cm/s)
2017.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2018.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2018.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2018.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2018.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2019.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2019.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2019.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2019.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2020.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2020.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2020.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2020.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2021.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2021.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2021.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2021.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2022.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2022.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2022.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2022.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2023.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2023.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2023.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2023.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2024.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2024.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2024.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2024.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2025.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2025.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2025.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2025.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2026.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2026.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2026.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2026.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2027.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2027.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2027.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2027.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2028.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2028.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2028.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2028.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2029.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2029.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2029.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2029.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2030.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2030.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2030.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2030.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2031.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2031.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2031.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
