# Digitized from Steinberg & Heizler 2022 Fig. 9(a) analytic (magenta)
# x(cm), T_gas(keV), T_rad(keV), rho(g/cc), vx(cm/s)
# x,T_gas,T_rad,rho,vx
-0.14948071,0.24157566,0.24121921,2.1730082,-18560180
-0.14935694,0.24156925,0.24122562,2.1731524,-18561141
-0.14923316,0.24156301,0.24123186,2.1732928,-18562077
-0.14910939,0.24155695,0.24123792,2.1734123,-18562986
-0.14898562,0.24155117,0.2412437,2.173499,-18563853
-0.14886184,0.24154539,0.24124949,2.1735857,-18564721
-0.14873807,0.24154007,0.24125228,2.1737035,-18565519
-0.14861429,0.24153477,0.24125493,2.1738227,-18566313
-0.14849052,0.24152961,0.24125823,2.1739388,-18567087
-0.14836675,0.24152478,0.24126307,2.1740476,-18567813
-0.14824297,0.24151994,0.24126791,2.1741565,-18568539
-0.1481192,0.241517,0.24127283,2.1742524,-18568980
-0.14799543,0.241517,0.24127788,2.1743281,-18568980
